cochesNetId,milanunciosId,wallapopId
1330,Abarth,Abarth
1355,None,None
1408,None,None
1,Alfa Romeo,Alfa Romeo
1377,None,None
238,Aro,Aro
1326,Asia,Asia
2,Asia Motors,Asia Motors
3,Aston Martin,Aston Martin
4,Audi,Audi
111,Austin,Austin
1321,Auverland,Auverland
6,Bentley,Bentley
241,Bertone,Bertone
7,Bmw,Bmw
1345,None,None
1356,None,None
1352,None,None
8,Cadillac,Cadillac
1357,None,None
1415,None,None
9,Chevrolet,Chevrolet
10,Chrysler,Chrysler
11,Citroen,Citroen
1327,Corvette,Corvette
1400,Cupra,Cupra
1011,Dacia,Dacia
12,Daewoo,Daewoo
13,Daihatsu,Daihatsu
145,Daimler,Daimler
1359,None,None
1351,Dfsk,Dfsk
173,Dodge,Dodge
1431,None,None
1401,Dr Automobiles,Dr Automobiles
1358,Ds,Ds
1410,None,None
146,Ferrari,Ferrari
14,Fiat,Fiat
1383,None,None
15,Ford,Ford
1430,None,None
1397,None,None
16,Galloper,Galloper
1360,None,None
1361,None,None
69,Honda,Honda
1423,None,None
234,Hummer,Hummer
18,Hyundai,Hyundai
1409,None,None
1025,Infiniti,Infiniti
185,Innocenti,Innocenti
1405,None,None
1413,None,None
19,Isuzu,Isuzu
126,Iveco,Iveco
1434,None,None
20,Jaguar,Jaguar
21,Jeep,Jeep
1427,None,None
22,Kia,Kia
1349,None,None
153,Lada,Lada
243,Lamborghini,Lamborghini
23,Lancia,Lancia
24,Land-Rover,Land-Rover
128,Ldv,Ldv
1432,None,None
1407,None,None
25,Lexus,Lexus
163,None,None
147,Lotus,Lotus
1404,None,None
246,Mahindra,Mahindra
26,Maserati,Maserati
1403,None,None
1323,Maybach,Maybach
27,Mazda,Mazda
1347,None,None
28,Mercedes-Benz,Mercedes-Benz
29,Mg,Mg
1428,None,None
1433,None,None
222,Mini,Mini
30,Mitsubishi,Mitsubishi
149,Morgan,Morgan
1419,None,None
1417,None,None
31,Nissan,Nissan
1420,None,None
32,Opel,Opel
33,Peugeot,Peugeot
87,Piaggio,Piaggio
1402,None,None
112,Pontiac,Pontiac
34,Porsche,Porsche
1348,None,None
1372,None,None
35,Renault,Renault
1329,None,None
36,Rolls-Royce,Rolls-Royce
37,Rover,Rover
38,Saab,Saab
1399,None,None
1328,Santana,Santana
39,Seat,Seat
1422,None,None
40,Skoda,Skoda
1425,None,None
41,Smart,Smart
42,Ssangyong,Ssangyong
43,Subaru,Subaru
44,Suzuki,Suzuki
1411,None,None
156,Talbot,Talbot
45,Tata,Tata
1354,Tesla,Tesla
46,Toyota,Toyota
1353,None,None
1324,Umm,Umm
1325,Vaz,Vaz
47,Volkswagen,Volkswagen
48,Volvo,Volvo
1426,None,None
1435,None,None
1421,None,None
1418,None,None
